Sl No,Parva,Kandah <M>,Kandah Name,Sama Name,Swara Symbols
205,तद्वपाठः,Kandah 7,सप्तम खण्डः,शौनश्शेपञ्च,णा णाफ् खा शी | कु च य ट | टा टाच् क प प्ल प्ला | शा |
206,तद्वपाठः,Kandah 7,सप्तम खण्डः,प्रतीचीनेषञ्च काशीतम्,तू ति | क किच् का पा प्ला ङ श | पु श पि प्ला | प्ल शा |
207,तद्वपाठः,Kandah 8,अष्टम खण्डः,सौमित्रञ्च,षी ती | षु टा त | टी त | टीट् ख शि | ख प्ल |
208,तद्वपाठः,Kandah 8,अष्टम खण्डः,श्यावाश्वेद्वे,षी ती | कि की का टु खा शि | ख श | षी ती त | कि टि कथ् टा टूट ख शि | ख |
209,तद्वपाठः,Kandah 8,अष्टम खण्डः,शैखण्डिनञ्च,ती | की टि त टा त त टि ख णा | खा ता | क प प्ल प्ला श | शा |
210,तद्वपाठः,Kandah 8,अष्टम खण्डः,वैतहव्यञ्च,षु ति त | कि खा ण | का तत् | तू | टि पि प्ल प्ला | शा |
211,तद्वपाठः,Kandah 8,अष्टम खण्डः,भारद्वाजञ्च,तू | चा य ट | चा थाच् का या ट | टिट् ख शि | ता ट ख |
212,तद्वपाठः,Kandah 8,अष्टम खण्डः,अरूणस्यचवैददश्वेस्साम,तु त श | तच् का या ट | कि का यि ट टा टाच् का य ट टा का टा का ता | षी टिख् |
213,तद्वपाठः,Kandah 8,अष्टम खण्डः,सौभरञ्च,ती | चा य टाच् का य टा | चि था का य टाच् का य टा | कि कि टा खण् | प प्ला |
214,तद्वपाठः,Kandah 8,अष्टम खण्डः,पाष्ठौहेच,खी णा | टा की ख णा | ट टा का ख ण | क प प्ल प्ला | शा | षी ती त | षी कि टि त | की टा टाट् ख शि | त टा टाख् |
215,तद्वपाठः,Kandah 8,अष्टम खण्डः,साकमश्वन्धुरांवासाम,कि कि च श | की कि च श | की कि च श | की कि च श | कु कि च श | कि कि | प शा |
216,तद्वपाठः,Kandah 9,नवम खण्डः,यामञ्च,तू त त | कि की चि | कथ् टा त | टा क थ ट य टाट् ख शि | त टाख् |
217,तद्वपाठः,Kandah 9,नवम खण्डः,आङ्गीरसञ्चइन्द्रस्यवा हरिश्रीर्निधनम्,षू तू | टीच् का का की टा ति | टि त | टीट् ख शि | च टाख् |
218,तद्वपाठः,Kandah 9,नवम खण्डः,वैरूपञ्च,ता | खू श | ती कु च | णा फ ख श | त्र |
219,तद्वपाठः,Kandah 9,नवम खण्डः,असीतञ्चसिन्धुसामवा,तू त | की की की क टा त | षी की का ट ता | टि खण् श | प शा |
220,तद्वपाठः,Kandah 9,नवम खण्डः,यमस्यार्कौद्वौ,ती | षी टि तच् क चि | क टा त का टी खण् | प प्ला | फा खी शा | क कु टि | टु त त | फा प्ला | प्ल शा |
221,तद्वपाठः,Kandah 9,नवम खण्डः,सौमित्रेद्वे,षी ती त | की खाणफप्ल ट त | च थ कि प प्ला प्ला | शा | षी तू त श | च टि खि ण | तू | क टि पा प्ल प्लि | शा |
222,तद्वपाठः,Kandah 9,नवम खण्डः,इन्द्रस्याभयम्,ती | टि त | का चा टि ख खा ति | क प प्लि श | शा |
223,तद्वपाठः,Kandah 9,नवम खण्डः,त्वाष्ट्रीसामनीद्वे,ती | ता षी टि खा प्ल ख णा | भि तच् क प प्ला प्ल | शा | ती | टि त | का टी त श | का टाच् क प प्ल प्ला | शा |
224,तद्वपाठः,Kandah 9,नवम खण्डः,इन्द्राण्यास्सामा,ती | च चू क था पा शा | ट खा ण | टा पा | प श ख प्ल | शा |
225,तद्वपाठः,Kandah 10,दशम खण्डः,श्यावाश्वञ्च,ती | टा त | टी त का ख ण | टि त | प्ली | प्ल शा |
226,तद्वपाठः,Kandah 10,दशम खण्डः,वैरूपञ्च,तू ति | टा टा का शा | टा टा काच् पि प्ला |
227,तद्वपाठः,Kandah 10,दशम खण्डः,सौमित्रञ्च,फी शा क | टीच् चा चा चि टि टिच् य टा | थ टिख् |
228,तद्वपाठः,Kandah 10,दशम खण्डः,स्तौभञ्च,खु श प्ला श | खी कि फा श | खु श प्ला श | खु का फा | खु श प्ला श खी का फ | खु श प्ला श | प्ल शा |
229,तद्वपाठः,Kandah 10,दशम खण्डः,श्रौतञ्च,ता | षू कु टा ता | का टा ता | काच् क टा ख प्ल | प्ल शा |
230,तद्वपाठः,Kandah 10,दशम खण्डः,आभीशवञ्च,षू ति त | चा श थ कि टा टा त श | चा य ट टा त श | टि खण् श | प प्ला |
231,तद्वपाठः,Kandah 10,दशम खण्डः,ऐषञ्च,फा खी शा | यू प श | खि शप्ल् ख ण श | प्लि प्ला | शा |
232,तद्वपाठः,Kandah 10,दशम खण्डः,इन्द्रस्यचक्षुरपवी,षी ती | चि टि ख ण | टीट् ख शि | ता ट ख |
233,तद्वपाठः,Kandah 10,दशम खण्डः,सौमित्रे,ती | टि का च श | क टि का ख ण | ख प्ल त त श | की प प्ल प्ला | शा | ता त श | षु टि त टाच् य टा त | पा श ट खि शि | ख श |
234,तद्वपाठः,Kandah 11,एकादश खण्डः,कौत्सञ्च,ती | षी टि तच् चा शा | टि त | टा ता | ख प्ल |
235,तद्वपाठः,Kandah 11,एकादश खण्डः,ऐषञ्च,षू ता त | चा श टी ख खा ता | क प प्ल प्ला | शा |
236,तद्वपाठः,Kandah 11,एकादश खण्डः,उषसश्चसाम,ती | च कू क टि ख ण | टि त | चा टी खण् | प शा |
237,तद्वपाठः,Kandah 11,एकादश खण्डः,बार्हदुक्थञ्च,तु ति श | टा टा का चा श | टा टाच् क प प्ल प्ला | शा |
238,तद्वपाठः,Kandah 11,एकादश खण्डः,वरुणसामच,षु तु | चा चा टि ति | था टा ती | टि ता | ख श |
239,तद्वपाठः,Kandah 11,एकादश खण्डः,उषसश्चैवसाम,का प शु | चा च टी ता | टि त | चा टी खण् | प प्ला |
240,तद्वपाठः,Kandah 11,एकादश खण्डः,मित्रावरुणयोश्चसंयोजनम्,कू था टा | ता कु था टा | था टा क था टा | का टा खण् | प प्ला |
241,तद्वपाठः,Kandah 11,एकादश खण्डः,ऋतुसामच,तु ति | थाच् का टि ख ण | क टा त | प श ख प्ल | शा |
242,तद्वपाठः,Kandah 11,एकादश खण्डः,विष्णोश्चसाम,ति | टा खि ण श | चि का च या ट टा य ट त | ट ख शि | त ताच् |
243,तद्वपाठः,Kandah 12,द्वादश खण्डः,कौत्सञ्च,ती | टा टि | चि टच क या टा | कि टि ख शि | ख श |
244,तद्वपाठः,Kandah 12,द्वादश खण्डः,काश्यपञ्चआप्सुरसंवा,चि क फ ता पा श शृ | टि ख खि ति | क प प्ल प्ला | शा |
245,तद्वपाठः,Kandah 12,द्वादश खण्डः,बार्हदुक्थेद्वे,ती त श | षी टिच् चा खा श | टि त | क टा ख शि | ख श | ती शु | क टी खि ण | च चा टि खा ण | काच् क टा ख प्ल | प्ल शा |
246,तद्वपाठः,Kandah 12,द्वादश खण्डः,और्ध्वसद्मनेद्वे प्रहितोर्वा संयोजने,ती | का की टा का चा | का टा प श ख प्ल | शा | फी शा का श | क षृ टी च श | च य टा टी कथ् श टाट् ख शि | त टाख् |
247,तद्वपाठः,Kandah 12,द्वादश खण्डः,कौत्सानिचत्वारि,ति | च चा शा टा त श | कि कि ता टा त श | चा टी टा त श | टट् ख शि | खा श | टच् च श का फा टा खि श | टच् च श का फा खि ण | टच् च श का फा पा खा त्र | ख | खा क था टी खि श | खा क था | का खि ण | खा क था | टा | खा खा | त्र | च शि कि फ टा खि श | च शि का फा खि ण | च शि का फा पा खा त्र | तच् |
248,तद्वपाठः,Kandah 12,द्वादश खण्डः,अभिवादस्यचऔदलस्यसाम,षी ति त | चा काच् का य टा | च श चा टा कि ता | ख श |
249,तद्वपाठः,Kandah 12,द्वादश खण्डः,सोमसामच,षी ति त श | टि त कि टि ख णा श | टीट् खा शि | टि ख |
250,बृहतिपाठः,Kandah 1,प्रथम खण्डः,इन्द्रस्यार्कौद्वौ,ती | टि त टा त | कि चा टि ख टि त | किच् चू चा का टा त | कि का चि क टाट् ख शि | ता टाख् | खी प्ली | चि का ट टा त | कि चू टा ख ण | क टा त चा टी खण् | प प्ला |
251,बृहतिपाठः,Kandah 1,प्रथम खण्डः,भारद्वाजेद्वे,ति | टा चा च क शु | ख श | चि क टा टा च क शु | ख श | टु थ ट ट का च क शु | ख श | कि कथ् टि का च क शु | खा श | षू तु त | च य टा | षु की च य टा | टि त | टि खण | प प्ला |
252,बृहतिपाठः,Kandah 1,प्रथम खण्डः,सन्नतेद्वे,ती | टि त | यू पा खि ता | यू टा | टिट् खा शि | टि ख | टु खि ण | टुट् ख शि | ख श | कुच् टि ता टाख् | ता क का टिट् ख शि | का टाख् |
253,बृहतिपाठः,Kandah 1,प्रथम खण्डः,शैतन्त्रृतीयम्,फू खा ण फ प्ल | टी चि टा ख ण श | च का चा पा श टा ख ण | फि त पा श टीट् ख शि | ख श |
254,बृहतिपाठः,Kandah 1,प्रथम खण्डः,नाविकञ्च,तु | का चा का का त ता | कीच् की का त ता | की टी चा टा का त ता | का का त ता | खी शि | टा ख |
255,बृहतिपाठः,Kandah 1,प्रथम खण्डः,प्रजापतेश्चाभीवर्तः,णा फ ख प्लि ङा | कीच् क्य य ट की प फ फाप्ल् चा या ट | का य टा ता खणफप्ल् | ख श |
256,बृहतिपाठः,Kandah 1,प्रथम खण्डः,भागञ्च,फू खी श | की चा का षू यु प श | कि टा ताच् ता प त्र श | ता टख् |
257,बृहतिपाठः,Kandah 1,प्रथम खण्डः,इन्द्रस्याभीवर्तः,फू ता प प्लु ङ श | षी कीच् का पा श | यी पा श | ट त ट ख | प्ली प्ल प्ला | शा |
258,बृहतिपाठः,Kandah 1,प्रथम खण्डः,नौधसम्,प प्लु ङ श | टी ट पा श | ट त षू या क ख ण | ट ता | की प प्ला | ख श |
259,बृहतिपाठः,Kandah 1,प्रथम खण्डः,लौशेद्वे,ता | च का ता टि ख श | टाच् च कि टा चा ता टा | चा क कि चा चा | टि त चा टी खण् | प प्ला | ता | च शा ता टि | ख श | टाच् चा का टाच् चा य ट टी त चि श | टि त चा टी खण् | प प्ला |
260,बृहतिपाठः,Kandah 1,प्रथम खण्डः,धानाकेद्वे,षी ति त | ता चा काच् क च य ट श | ता तू काच् च य टा श | चा श चू टी खण | प प्ला | षी तु | ची टा ख ण श | चा ता टि | चि चि चा चा का टि त चा टी खण् | प प्ला |
261,बृहतिपाठः,Kandah 1,प्रथम खण्डः,कालेयानित्रीणि,टा खी शा | ची ट चा क ख शप्ल् ख ण | षु कि च य टा ख शप्ल् ख ण | चू क ख णा | ख शप्ल् ख शा | टी खा शा | चा काच् का य ट ट त टा त त | षु चि क य टा ट त टा त त | चा या ट ट त टा त त | चा टी खण् | प शा | खु प्ली | क चि काच् क प प्लि ता प णि फा त त श | चा कि ख ख ण | प्ली | प्ल शा |
262,बृहतिपाठः,Kandah 1,प्रथम खण्डः,ऐषिरेद्वे,ती | खि ण | क च चा ता टा टा ख ण | ची का टि टि ख ण | क टिख् | ता त श | ची कु ति श | चा काच् चा य ट ता त श | कू था का या टा ता त श | चा काच् चा क खि शि | ख श |
263,बृहतिपाठः,Kandah 1,प्रथम खण्डः,गौश्रृङ्गेद्वे,फू ता प प्ली ङ श | षी टी खा फूप्ल् त ता | क टि त | चि टि खण् | प प्ला | फू ता प प्ली ङ श | षै टे कु त ची श | चू का प प्ल प्ला | शा |
264,बृहतिपाठः,Kandah 1,प्रथम खण्डः,प्रष्ठमेकम्,ताच् चू | षि टु क चा | क षी कि टि क चा | टि त | टीट् खण् | प प्ला |
265,बृहतिपाठः,Kandah 1,प्रथम खण्डः,शुक्लएकम्,तु त श | ची टि खी श | क कि की टा खी श | ची टि खी श | ख |
266,बृहतिपाठः,Kandah 1,प्रथम खण्डः,जमदग्नेरभिवर्तएकम्,षी तू त श | टा टि त श | क किच् क टि टि त श | चा चा टि ट ख शि | खि |
267,बृहतिपाठः,Kandah 1,प्रथम खण्डः,कौन्मुलबर्हिषेद्वे,णाफ् ख शू | टू पा शृ | क टि चि श | षि कु प प्लि | शा | तु त श | यू पा शृ | च चि श टी श | टि चि त च ख प्ल प्ला | शा |
268,बृहतिपाठः,Kandah 1,प्रथम खण्डः,वसिष्ठस्यजनित्रेद्वे,खी प्ली | टा का श षि यी टा श | षु टि खि ण | कि की कथ् टिट् खा शि | त टाख् | फू खा कि | षी यी पा श फा फा फा फा खि ण | कि टाच् क ट त टट् खा शि | त टाख् |
269,बृहतिपाठः,Kandah 1,प्रथम खण्डः,मैधातिथम्,तु त श | खि ण | टिच् य पि श | कि का का का | षु पी श | का का का का | पु श | कि का ख प्ल प्ला | शा |
270,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,वैखानसम्,खी प्ली | खी काच् क प प्ला ता | क च चा की का पा फा ता | चु काच् पा प्ला खण् | प प्ला |
271,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,प्राकर्षम्,षू ति श | खी प्ली | टि टा यू टा | टाच् खि शि | ता ट ख |
272,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,सात्यम्,खु प्ली | टा टा ची टा त श | टा टा टु चि टि त श | टि टा कि टा ख शि | ख श |
273,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,भारद्वाजानिचत्वारि कण्वब्रहद्वाद्वितीयम्,ती | चा य ट | चा काच् ची का य ट | किच क्य या टा | का य ट ट ख शि | ख श | षा ती त | चा य प प्ल ङ श | का का कीच् का य प प्ल ङ श | कीच् का या प प्ल ङ श | चा य प प्ल ङ श | का प प्ली प्ल श | श | षू ति | षो ची टि टि ति | ची का त टा | ता प प्ल | ख | फ खा शी | टु खि ण श | चा का कीच् का य ट ट खि ण श | कीच् का या टा ट खि ण श | चा य ट ट खि ण श | टि खण् श | प प्ला |
274,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,वाम्राणित्रीणि,ती तु श | क किच् क क पा श कि शा | खि श | क चि टिच् क ट ट खा शि | ख प्ल | तू ता श | क चि क षि टी ता | का का क टा ता | टी तच् | क ट ट खा शि | ता ख | तू ता | क चि क शू | टाच् क कु टू | टा चा ता टि | ख श |
275,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,गौङ्गवम्,खि प्ली | चि खु ण | ची चि ट खि णा | खि श पा श | क प प्ल प्ला | शा |
276,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,साध्राणि त्रीणि,ति | ची का चि चि श | ती ता | कीच् कि भ टा टि टट् ख शि | ख प्ल | खी प्ली श | क कि ट खाणफप्ल् | ख श | क कि चा चा श चा भी खा श | टा खा श प्लु | प्ल शा | तु | खि शि | खि श खि शि | क का भी श | खि ण | पि प्ल ङ श | पि प्ल ङ श | ट ख शि | ख प्ल |
277,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,विरूपस्य समिचीन प्राचीनेद्वे,तु | चा का पू शू | का चि चि पू शू | की चा चा श चा का पू शू | कू च क पू प्लु शा | क टाख् | ती | चा का टा ख | का चि चा ट टा ख | की चा चि चा का टा ख | षि टु टा ख ति | क टाख् |
278,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,यौक्तास्रजमिन्द्रस्येन्द्रियंवा,तू | कू टि त श | टि का ची टि त श | टि पी प्ल | ख श |
279,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,आत्राणित्रीणि,षू तु ता | की टा तु पी श | ट खा णा | की टाच् का क टा | क टा ख प्ल | प्ल शा | षी तु श | चा का च य टा ता त च खा श | थ की कि ता त च खा श | ची की ता त च खा श | टिट् ख शि | ख श | फू ता पा प्लू ङ श | थ की टिच् भू त टा त | ची टाच् का ट का | टि ख प्ल | प्ल शा |
280,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,वासिष्ठानित्रीणि,ती | क टि खी ण | क भी खि शा खि ण | क टि खि ण | खि श | त्रा | फी की | टू टा शा | टू की टा | तू ति | ख श | त फू खा शा | च टी खाणफप्ल् श | ख श | कू की खा | त फू खा शा | की ताच् क टा ख प्ल | प्ल शा |
281,बृहतिपाठः,Kandah 2,द्वितीय खण्डः,वत्सस्यकाण्वस्य सामनीद्वे गौतमस्यवामनार्ये,पि शु | की टि ता | क षि ची टि त | टाच् क टाट् ख शि | ख श | खि शि | था च का खा प्ल त श | ची चा शा खा प्ल खा ण | चू क च शा ख प्ल त श | टाच् क टाट् ख शि | ता टख् |
282,बृहतिपाठः,Kandah 3,तृतीय खण्डः,हारायणानि त्रीणि,ति | ची क ख श | थाच् की खा श | ची चा का ख शा | टिट् ख शि | टा खा | फी की श | षू टू त | चा का टा त टी | षू का प प्ल प्ला | शा | फु खा शी | टु खि ण श | कुच का टि खि ण श | षी कीच् का टि खि ण श | चा य ट खि ण श | टि खण् श | प शा |
283,बृहतिपाठः,Kandah 3,तृतीय खण्डः,वाम्राणित्रीणि,ता खा श | च का य ट | ता चि का या ट | टा तच् क चू य टा | टि त श | चा टि खाण | प शा | टू त त | थाच् ट टा ख श खा ण श | थाच् ची का टि ख श खा ण श | क का ता खा ण श | टि खाण् | प शा | षु तू त श | थाच् ट टा च टि त श | क षू यि टाच् टि त श | च टा ताच् टि त श | च टा खाण् | प शा |
284,बृहतिपाठः,Kandah 3,तृतीय खण्डः,वरुणसामानित्रीणि,तु त श | ट चा टि कथ् टा टि चा श | टा कथ् टा षि कु चि | टा टि ट कि टि टि | ख श | तू त | कुच् क का | की चा किच् क का | चू क कि किच् क का | क का किच् | क का किच् क पाण् | प शा | षी ति ता त | चा चा या ट श | ट त ट त कीच् क टा त टि त | क का चि टि त | क च क ट त प प्ल | शा |
285,बृहतिपाठः,Kandah 3,तृतीय खण्डः,वषट्कारनिधनञ्च साकमश्वम्,षु फु खा प्ली श | थीच् का चा का य ट कि | षी ची का टा चा य ट कि | चा काच् का टाच् चा य ट का ख शि | ख श |
286,बृहतिपाठः,Kandah 3,तृतीय खण्डः,बृहतश्चमारूतस्यसाम,षु तु | थाच् चा य ट कि | ची का य ट कि | टी चि ट कि | की ख ण | ता त त | प्ली | प्ल शा |
287,बृहतिपाठः,Kandah 3,तृतीय खण्डः,संश्रवसे वीश्रवसे सत्यश्रवसे श्रवस इतिवार्यानां सामानिचत्वारी सांशानानिवा,चा थाच् का या टा टी | का थाच् का य ट टा | ची का य ट टा | चि कुच् का य ट टा | का थाच् का य ट टा | चा था टी टि खा शि | च खि | कीच् का या टा टी | का थाच् का य ट टा | ची का य ट टा | चि कुच् का य ट टा | का थाच् का य ट टा | कीच् टी टि खा शि | च खि | का चा का या टा टि | का थाच् का य ट टा | ची का य ट टा | चि कुच् का य ट टा | का थाच् का य ट टा | चा टख टि खा शि | चा टिख् | कीच् का या टा टी | का थाच् का य ट टा | ची का य ट टा | चि कुच् का य ट टा | का थाच् का य ट टा | कीच् टी टि खा शि | टिख् |
288,बृहतिपाठः,Kandah 3,तृतीय खण्डः,वासिष्ठानि त्रीणि भार्गवं वा तृतीयम्,भि त | चा का य ट | भि त | थाच् का य ट | भि त | कू का य ट | टि ख शि | खी | फी की | की षी टी त | क की च य टा ट ट कि त त | टि त | टि ख ण | प प्ला | फू खी श | खा चा प्ला | त चू क प शृ | का कि चा पा शू | क प प्लि | शा |
289,बृहतिपाठः,Kandah 3,तृतीय खण्डः,स्ववस आञ्जीकस्यसामनीद्वे,ती | पि श | यू प श | षी यु प श | की कि त टि | ख श | फू खा शी | टि त | कु टा त | टी टि चि | ता ता | टि ख ण | प शा |
290,बृहतिपाठः,Kandah 3,तृतीय खण्डः,काण्वम्,खि शु | कु ट का ता | ची चा चा श | टि त ट त की प त्र श | च श |
291,बृहतिपाठः,Kandah 3,तृतीय खण्डः,वैष्टम्भेद्वे,षृ तू त | षे पी श | यू प श | ता त षो टी त | का क टा ख प्ल | प्ल शा | ती तू त | कु च य टा टा त श | की कीच् का य ट टा त श | चा या ट टा त श | टिट् ख शि | ख श |
292,बृहतिपाठः,Kandah 3,तृतीय खण्डः,काण्वञ्चैव,ता त तु त | ख श खि श खि ण | क कि क खा शा खि श खि ण | क कि खि शा खि ण | खि त्र श | ख श |
293,बृहतिपाठः,Kandah 3,तृतीय खण्डः,श्रुष्टिगवञ्च,त षू ति त | टा टा क चि ट शी क थच् चि श | टा टा टा श टा ट शी क थच् चि श | कु ट शी क थच् चि श | टा टिच् का टि कि क थच् टिट् ख शि | ख श |
294,बृहतिपाठः,Kandah 4,चतुर्थ खण्डः,इन्द्रस्यचवृषकम्,तू ति श | षु टा चा चा य टा कि चा श | टि त | टी ख | प शा |
295,बृहतिपाठः,Kandah 4,चतुर्थ खण्डः,द्वैगतेच,खी प्ली | टीच् का य ट | ता ट त त | टि कि या टा | चा ट ख शि | त टा खा | षी तू त | थाच् का या पा खा ता श | क की या टा | टा टट् ख शि | टा खा |
296,बृहतिपाठः,Kandah 4,चतुर्थ खण्डः,कार्तवेशञ्च,षु ति | काच् क टा क टि का ख ण | ती | का टा खा शि | ता | ट ख |
297,बृहतिपाठः,Kandah 4,चतुर्थ खण्डः,इन्द्रस्यच शरणम्,फी शी | षी चि टी त | की क टा त | क टा त का टा ख प्ल | प्ल शा |
298,बृहतिपाठः,Kandah 4,चतुर्थ खण्डः,श्रायन्तीयञ्च,षू ता त | टा टि टा टा | की कीच् का य ट | कि कि टि त | पि शा | ता प प्ल | ख |
299,बृहतिपाठः,Kandah 4,चतुर्थ खण्डः,आक्षीलन्चबाभ्रंवा,चि क फ प्ल त त श प शी | टि भी च य ट | टी त का कि की | ख श | टा टि टाच् क टा ट ख शि | खा श |
300,बृहतिपाठः,Kandah 4,चतुर्थ खण्डः,शौक्तानि त्रीणि शुक्लानिवा आश्वानिवा,तु | टा टा | कू कि ख शप्ल् त त श | का ची ची क टा त | टा त श क टा ख प्ल | प्ल शा | तू त त | क की कि टि त | ची ची क टा त | टा त श क टा ख प्ल | प्ल शा | तू त | षु चि का य ट | षु चि का य ट | टि खण् | प शा |
301,बृहतिपाठः,Kandah 4,चतुर्थ खण्डः,प्रजापतेर्निधन कामम्,फी की | कु टी ख णा | क षु का खि ण | ट टा त श | टा च टिच् कच् श | ख |
302,बृहतिपाठः,Kandah 4,चतुर्थ खण्डः,गौतमस्यमनार्याणित्रीणि,ति | क टा कि कि ख श | का का कि टा कि कि ख श का कि शि कि कि ख श | का की टा कि कि ख श | ता ट खा शि | टा ख | ती | की शा टि त | की कि का टि त | का कि शि टि त | का की टा टि त | ता ट खा शि | त ट ख | ति | पी ण | ती चा पा ण | कु टि ता | पि ण | का टाच् का ट खा शि | ख |
303,बृहतिपाठः,Kandah 4,चतुर्थ खण्डः,वैरूपाणित्रीणि,ती | ट खा शि ख श | चा था कू टा | षी यि टा | क टा त | का टी खण् | प शा | ती | टा टा | कु की चि | था कि कु शि | क कि कि कि टि | ख श | फु खी शु | की यू टा | षु यू टा ट त | क था तच् का प त्र श | च ट ख श |
304,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,पौरूहन्मनञ्च,खी प्ली | कीच् का य टा टि | टी टि टि का ख ण | टी कि ख ण श | प्ली श | प्ल शा |
305,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,प्राकर्षञ्च,तु खा शा | की टि ता | षू टि त | ट ता का की | प प्लि | शा |
306,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,इन्द्रस्यचाभयङ्करम्,खी प्ली श | कि टि त | षु कि टि त श | टी त का टी खण् | प शा |
307,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,कावर्षेद्वे,ती श | टी खा श | किच् क टा | षू टि खि णा | कि टि | ख श | फू त प प्लि ङ श | षू टि ता | ट ता | टा खणफप्ल् | ख श |
308,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,सूर्यसामच,खि शी | कीच् का य प ण णि फा फा प्ला प त त | टि ता | क प प्ल प्ल | शा |
309,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,नैपातिथेद्वे वाशेवा,तू | का कु टा श | टाच् चा थि टी | टा टाच् क प प्ल प्ला | शा | षी ती त | कीच् क टी खि ण श | टाच् क च थि टी खि ण श | टुच् खि ण श | टट् ख शि | ख श |
310,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,कौन्मुदेद्वेस्वर्जोतिषीवा,ती | टा टा श | षी ची श था टि | कि यी टा | टा टा क टाट् ख शि | खा श | फु ता पा शृ | था टि | कि टू खा श | था टाच् क टाट् ख शि | खा श |
311,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,अनूपेद्वे,ती | काच् का य ट | क कि या टा | टा टा चि टि त | भी त | प श ख प्ल | शा | तू त | कि कि की टा टि क थ चा | षी कि कु टा टि क थ चा | चा या त | का टी खण् | प प्ला |
312,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,वैरूपञ्च,पि शु | की टि | षी कु टा | टा टाच् क प प्ल प्ला | शा |
313,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,वाचश्चसाम,षी ती त | टि चि या ट | टी यू टा | क टुट् ख शि | खा श |
314,बृहतिपाठः,Kandah 5,पञ्चम खण्डः,आक्षीलेद्वे,ष ती तु | षी टा त कु टु त | पा श | खि शा | षी तृ षी ती श | क टू यी चु श | प श | खि प्ला |
315,बृहतिपाठः,Kandah 6,षष्ठ खण्डः,गौरीवितेःप्रहितौद्वौ,ती | त टा टा त टा त त | थिच् क भि टा त टा त त | कि थ टी टा त टा त त | षि टू त | ता टट् ख शि | ताच् | षी ति त | का षू टि का षी टू च श | का टा खि ण | ता टट् ख शि | त ख श |
316,बृहतिपाठः,Kandah 6,षष्ठ खण्डः,आत्रेद्वे,ती | पाणफप्ल् | ख श | क क च य टा | टी कि टु | का का टा खण् | प शा | षु ती | षी टी क थ टि ट | च य टा टी क थ टि ट | खि ण | कु खि ण | टि खण् | प शा |
317,बृहतिपाठः,Kandah 6,षष्ठ खण्डः,गौतमेद्वे,तु त | की टा तच् क टा ता श | किच् कूच् का य ट त श | चा य टा त श | टी खण् | प शा | फू खि शु | टी टी यि टा श | चि टू का य ट त श | चा य टा त श | टी खण् | प शा |
318,बृहतिपाठः,Kandah 6,षष्ठ खण्डः,वामदेव्यञ्च,षी फू खा प्ली | की टि त | षु कि टि त श | टि त चा टी खण् | प शा |
319,बृहतिपाठः,Kandah 6,षष्ठ खण्डः,अश्विनोश्चसाम,फी की | षी टु क क चु क शी | पी प्ल | ख श |
320,बृहतिपाठः,Kandah 6,षष्ठ खण्डः,वसिष्ठस्य वज्राणि त्रीणि,ती | टट् ख शि | ख श | की कि षी खी खा ता | टा टा | टट् ख शि | ख | तू त श | टा टि ता श चि | टु ट त त श टा ख ण | का का कु ट त त श | का टि खण् | प शा | णा णा फा खी ण | ता श यि ट | की टि ख ण | फा खु श | फि खु श | प्लि | प्ल शा |
321,बृहतिपाठः,Kandah 6,षष्ठ खण्डः,सौबभ्रवेद्वे,ती | टि त श | कुच् क टा ता श | टी यू टा | भि तच् क प प्ल प्ला | शा | ती | था ता ट त श | कीच क टा ता श | टी यू टा | भी तच | क प प्ल प्ला | शा |
322,बृहतिपाठः,Kandah 6,षष्ठ खण्डः,वैर्यश्वम्,षु ति त | टिच् ताच् क कि टा त श | टा चाक् टु खि ण श | टु च श | पि प्ला | प्ल शा |
323,बृहतिपाठः,Kandah 6,षष्ठ खण्डः,इन्द्रस्यसहस्रायुतेद्वे प्रजापतेर्वा महोविशीये,ती त | खा णा | चा काच् का या प श प्ला ता | की का य पा प्ल ता | प श ख प्ल | शा | खी प्ली | चा था का या ट श | की यू टा | टि त | टि ख शि | टीच् |
324,बृहतिपाठः,Kandah 6,षष्ठ खण्डः,इन्द्राण्यास्साम,षू ती | खि प्ल | की खि श | क कि खि श | कु कि खि श | क कि खि श | क प प्ल प्ला | शा |
