   "(\U00000020)"

$  "(\U00000024)"
𑌷𑍀  "(\U00011337\U00011340)"
𑌷𑍀𑌂  "(\U00011337\U00011340\U00011302)"
𑌷𑍁  "(\U00011337\U00011341)"
𑌷𑍂  "(\U00011337\U00011342)"
𑌷𑍂𑌃  "(\U00011337\U00011342\U00011303)"
𑌷𑍃  "(\U00011337\U00011343)"
𑌷𑍇  "(\U00011337\U00011347)"

𑌷𑍋  "(\U00011337\U00011347\U0001133E)"

𑌷𑍈  "(\U00011337\U00011348)"
𑌷𑍍  "(\U00011337\U0001134D)"
𑌷𑍗  "(\U00011337\U00011357)"
𑌸  "(\U00011338)"
𑌸𑌂  "(\U00011338\U00011302)"
𑌸𑌾  "(\U00011338\U0001133E)"
𑌸𑌾𑌂  "(\U00011338\U0001133E\U00011302)"
𑌸𑌾𑌃  "(\U00011338\U0001133E\U00011303)"
𑌸𑌿  "(\U00011338\U0001133F)"
𑌸𑌿𑌂  "(\U00011338\U0001133F\U00011302)"
𑌸𑌿𑍍  "(\U00011338\U0001133F\U0001134D)"
𑌸𑍀  "(\U00011338\U00011340)"
𑌸𑍀𑍍  "(\U00011338\U00011340\U0001134D)"
𑌸𑍁  "(\U00011338\U00011341)"
𑌸𑍁𑌂  "(\U00011338\U00011341\U00011302)"
𑌸𑍂  "(\U00011338\U00011342)"
𑌸𑍂𑌂  "(\U00011338\U00011342\U00011302)"
𑌸𑍂𑌃  "(\U00011338\U00011342\U00011303)"
𑌸𑍃  "(\U00011338\U00011343)"
𑌸𑍃𑌾  "(\U00011338\U00011343\U0001133E)"
𑌸𑍇  "(\U00011338\U00011347)"
𑌸𑍋  "(\U00011338\U00011347\U0001133E)"

𑌸𑍈  "(\U00011338\U00011348)"
𑌸𑍍  "(\U00011338\U0001134D)"
𑌸𑍗  "(\U00011338\U00011357)"
𑌹  "(\U00011339)"
𑌹𑌂  "(\U00011339\U00011302)"
𑌹𑌃  "(\U00011339\U00011303)"
𑌹𑌾  "(\U00011339\U0001133E)"
𑌹𑌾𑌂  "(\U00011339\U0001133E\U00011302)"
𑌹𑌾𑌃  "(\U00011339\U0001133E\U00011303)"
𑌹𑌿  "(\U00011339\U0001133F)"
𑌹𑌿𑌂  "(\U00011339\U0001133F\U00011302)"
𑌹𑍀  "(\U00011339\U00011340)"
𑌹𑍀𑌂  "(\U00011339\U00011340\U00011302)"
𑌹𑍁  "(\U00011339\U00011341)"
𑌹𑍂  "(\U00011339\U00011342)"
𑌹𑍃  "(\U00011339\U00011343)"
𑌹𑍇  "(\U00011339\U00011347)"
𑌹𑍋  "(\U00011339\U00011347\U0001133E)"
𑌹𑍋𑌂  "(\U00011339\U00011347\U0001133E\U00011302)"
𑌹𑍇𑍍  "(\U00011339\U00011347\U0001134D)"
𑌹𑍈𑌃  "(\U00011339\U00011348\U00011303)"
𑌹𑍍  "(\U00011339\U0001134D)"
𑌹𑍗  "(\U00011339\U00011357)"

𑍠  "(\U00011360)"
