   "(\U00000020)"

$  "(\U00000024)"
𑌜  "(\U0001131C)"
𑌜𑌂  "(\U0001131C\U00011302)"
𑌜𑌾  "(\U0001131C\U0001133E)"
𑌜𑌾𑌂  "(\U0001131C\U0001133E\U00011302)"
𑌜𑌾𑌃  "(\U0001131C\U0001133E\U00011303)"
𑌜𑌿  "(\U0001131C\U0001133F)"
𑌜𑌿𑌂  "(\U0001131C\U0001133F\U00011302)"

𑌜𑍀  "(\U0001131C\U00011340)"

𑌜𑍁  "(\U0001131C\U00011341)"
𑌜𑍁𑌂  "(\U0001131C\U00011341\U00011302)"
𑌜𑍂  "(\U0001131C\U00011342)"
𑌜𑍇  "(\U0001131C\U00011347)"
𑌜𑍋  "(\U0001131C\U00011347\U0001133E)"
𑌜𑍈  "(\U0001131C\U00011348)"

𑌜𑍍  "(\U0001131C\U0001134D)"
𑌜𑍗  "(\U0001131C\U00011357)"
𑌝𑍍  "(\U0001131D\U0001134D)"
𑌞  "(\U0001131E)"
𑌞𑌂  "(\U0001131E\U00011302)"
𑌞𑌾  "(\U0001131E\U0001133E)"
𑌞𑌾𑌂  "(\U0001131E\U0001133E\U00011302)"
𑌞𑍀  "(\U0001131E\U00011340)"
𑌞𑍋  "(\U0001131E\U00011347\U0001133E)"
𑌞𑍌  "(\U0001131E\U00011347\U00011357)"
𑌞𑍈  "(\U0001131E\U00011348)"
𑌞𑍍  "(\U0001131E\U0001134D)"
𑌞𑍗  "(\U0001131E\U00011357)"
𑌟  "(\U0001131F)"
𑌟𑌂  "(\U0001131F\U00011302)"
𑌟𑌃  "(\U0001131F\U00011303)"
𑌟𑌾  "(\U0001131F\U0001133E)"
𑌟𑌾𑌂  "(\U0001131F\U0001133E\U00011302)"
𑌟𑌾𑌃  "(\U0001131F\U0001133E\U00011303)"
𑌟𑌿  "(\U0001131F\U0001133F)"
𑌟𑍀  "(\U0001131F\U00011340)"

𑌟𑍁  "(\U0001131F\U00011341)"
𑌟𑍂  "(\U0001131F\U00011342)"
𑌟𑍃  "(\U0001131F\U00011343)"
𑌟𑍄  "(\U0001131F\U00011344)"
𑌟𑍇  "(\U0001131F\U00011347)"
𑌟𑍋  "(\U0001131F\U00011347\U0001133E)"
𑌟𑍈  "(\U0001131F\U00011348)"
𑌟𑍍  "(\U0001131F\U0001134D)"
𑌟𑍗  "(\U0001131F\U00011357)"
𑌟𑍢  "(\U0001131F\U00011362)"
𑌠𑍀  "(\U00011320\U00011340)"
𑌡  "(\U00011321)"
𑌡𑌂  "(\U00011321\U00011302)"
𑌡𑌾  "(\U00011321\U0001133E)"
𑌡𑌾𑌂  "(\U00011321\U0001133E\U00011302)"
𑌡𑌾𑌃  "(\U00011321\U0001133E\U00011303)"
𑌡𑌿  "(\U00011321\U0001133F)"
𑌡𑌿𑌾  "(\U00011321\U0001133F\U0001133E)"

𑌡𑍀  "(\U00011321\U00011340)"

𑌡𑍁  "(\U00011321\U00011341)"
𑌡𑍂  "(\U00011321\U00011342)"
𑌡𑍇  "(\U00011321\U00011347)"
𑌡𑍋  "(\U00011321\U00011347\U0001133E)"
𑌡𑍋𑌃  "(\U00011321\U00011347\U0001133E\U00011303)"
𑌡𑍈  "(\U00011321\U00011348)"
𑌡𑍍  "(\U00011321\U0001134D)"
𑌢  "(\U00011322)"
𑌢𑌾  "(\U00011322\U0001133E)"
𑌢𑌿  "(\U00011322\U0001133F)"
𑌢𑍂  "(\U00011322\U00011342)"
𑌢𑍇  "(\U00011322\U00011347)"
𑌢𑍇𑍍  "(\U00011322\U00011347\U0001134D)"
𑌢𑍍  "(\U00011322\U0001134D)"
𑌣  "(\U00011323)"
𑌣𑌂  "(\U00011323\U00011302)"
𑌣𑌾  "(\U00011323\U0001133E)"
𑌣𑌾𑌂  "(\U00011323\U0001133E\U00011302)"
𑌣𑌾𑌃  "(\U00011323\U0001133E\U00011303)"
𑌣𑌿  "(\U00011323\U0001133F)"
𑌣𑌿𑌂  "(\U00011323\U0001133F\U00011302)"
𑌣𑍀  "(\U00011323\U00011340)"
𑌣𑍀𑌃  "(\U00011323\U00011340\U00011303)"
𑌣𑍁  "(\U00011323\U00011341)"
𑌣𑍁𑌂  "(\U00011323\U00011341\U00011302)"
𑌣𑍂  "(\U00011323\U00011342)"
𑌣𑍇  "(\U00011323\U00011347)"
𑌣𑍋  "(\U00011323\U00011347\U0001133E)"

𑌣𑍍  "(\U00011323\U0001134D)"
𑌣𑍗  "(\U00011323\U00011357)"
𑌤  "(\U00011324)"
𑌤𑌂  "(\U00011324\U00011302)"
𑌤𑌃  "(\U00011324\U00011303)"
𑌤𑌾  "(\U00011324\U0001133E)"
𑌤𑌾𑌂  "(\U00011324\U0001133E\U00011302)"
𑌤𑌾𑌃  "(\U00011324\U0001133E\U00011303)"

𑌤𑌿  "(\U00011324\U0001133F)"
𑌤𑌿𑌂  "(\U00011324\U0001133F\U00011302)"
𑌤𑌿𑌃  "(\U00011324\U0001133F\U00011303)"

𑌤𑍀  "(\U00011324\U00011340)"
𑌤𑍀𑌂  "(\U00011324\U00011340\U00011302)"
𑌤𑍀𑌃  "(\U00011324\U00011340\U00011303)"
𑌤𑍀𑍍  "(\U00011324\U00011340\U0001134D)"
𑌤𑍁  "(\U00011324\U00011341)"
𑌤𑍁𑌂  "(\U00011324\U00011341\U00011302)"
𑌤𑍂  "(\U00011324\U00011342)"
𑌤𑍂𑌂  "(\U00011324\U00011342\U00011302)"
𑌤𑍂𑌃  "(\U00011324\U00011342\U00011303)"
𑌤𑍃  "(\U00011324\U00011343)"
𑌤𑍃𑌂  "(\U00011324\U00011343\U00011302)"
𑌤𑍄  "(\U00011324\U00011344)"
𑌤𑍇  "(\U00011324\U00011347)"
𑌤𑍇𑌃  "(\U00011324\U00011347\U00011303)"
𑌤𑍋  "(\U00011324\U00011347\U0001133E)"
𑌤𑍋𑌃  "(\U00011324\U00011347\U0001133E\U00011303)"

𑌤𑍈  "(\U00011324\U00011348)"
𑌤𑍍  "(\U00011324\U0001134D)"
𑌤𑍗  "(\U00011324\U00011357)"
𑌤𑍢  "(\U00011324\U00011362)"
𑌥  "(\U00011325)"
𑌥𑌂  "(\U00011325\U00011302)"
𑌥𑌃  "(\U00011325\U00011303)"
𑌥𑌾  "(\U00011325\U0001133E)"
𑌥𑌾𑌂  "(\U00011325\U0001133E\U00011302)"
𑌥𑌾𑌃  "(\U00011325\U0001133E\U00011303)"
𑌥𑌿  "(\U00011325\U0001133F)"
𑌥𑌿𑌂  "(\U00011325\U0001133F\U00011302)"
𑌥𑍀  "(\U00011325\U00011340)"
𑌥𑍀𑌂  "(\U00011325\U00011340\U00011302)"

𑌥𑍁  "(\U00011325\U00011341)"
𑌥𑍂  "(\U00011325\U00011342)"
𑌥𑍃  "(\U00011325\U00011343)"
𑌥𑍇  "(\U00011325\U00011347)"
𑌥𑍋  "(\U00011325\U00011347\U0001133E)"
𑌥𑍍  "(\U00011325\U0001134D)"
𑌥𑍗  "(\U00011325\U00011357)"
𑌦  "(\U00011326)"
𑌦𑌂  "(\U00011326\U00011302)"
𑌦𑌃  "(\U00011326\U00011303)"
𑌦𑌾  "(\U00011326\U0001133E)"
𑌦𑌾𑌂  "(\U00011326\U0001133E\U00011302)"
𑌦𑌾𑌃  "(\U00011326\U0001133E\U00011303)"
𑌦𑌿  "(\U00011326\U0001133F)"
𑌦𑌿𑍍  "(\U00011326\U0001133F\U0001134D)"
𑌦𑍀  "(\U00011326\U00011340)"

𑌦𑍁  "(\U00011326\U00011341)"
𑌦𑍁𑌂  "(\U00011326\U00011341\U00011302)"
𑌦𑍂  "(\U00011326\U00011342)"
𑌦𑍂𑌂  "(\U00011326\U00011342\U00011302)"
𑌦𑍃  "(\U00011326\U00011343)"
𑌦𑍇  "(\U00011326\U00011347)"
𑌦𑍇𑌃  "(\U00011326\U00011347\U00011303)"
𑌦𑍋  "(\U00011326\U00011347\U0001133E)"
𑌦𑍋𑌂  "(\U00011326\U00011347\U0001133E\U00011302)"

𑌦𑍈  "(\U00011326\U00011348)"
𑌦𑍍  "(\U00011326\U0001134D)"
𑌦𑍗  "(\U00011326\U00011357)"
𑌧  "(\U00011327)"
𑌧𑌂  "(\U00011327\U00011302)"
𑌧𑌾  "(\U00011327\U0001133E)"
𑌧𑌾𑌂  "(\U00011327\U0001133E\U00011302)"
𑌧𑌾𑌃  "(\U00011327\U0001133E\U00011303)"
𑌧𑌿  "(\U00011327\U0001133F)"
𑌧𑌿𑌃  "(\U00011327\U0001133F\U00011303)"
𑌧𑍀  "(\U00011327\U00011340)"
𑌧𑍀𑌂  "(\U00011327\U00011340\U00011302)"
𑌧𑍀𑌃  "(\U00011327\U00011340\U00011303)"
𑌧𑍀𑍍  "(\U00011327\U00011340\U0001134D)"
𑌧𑍁  "(\U00011327\U00011341)"
𑌧𑍂  "(\U00011327\U00011342)"
𑌧𑍂𑌂  "(\U00011327\U00011342\U00011302)"
𑌧𑍂𑌃  "(\U00011327\U00011342\U00011303)"
𑌧𑍃  "(\U00011327\U00011343)"
𑌧𑍄  "(\U00011327\U00011344)"
𑌧𑍇  "(\U00011327\U00011347)"
𑌧𑍋  "(\U00011327\U00011347\U0001133E)"
𑌧𑍍  "(\U00011327\U0001134D)"
𑌧𑍗  "(\U00011327\U00011357)"
𑌨  "(\U00011328)"
𑌨𑌂  "(\U00011328\U00011302)"
𑌨𑌃  "(\U00011328\U00011303)"
𑌨𑌾  "(\U00011328\U0001133E)"
𑌨𑌾𑌂  "(\U00011328\U0001133E\U00011302)"
𑌨𑌾𑌃  "(\U00011328\U0001133E\U00011303)"
𑌨𑌿  "(\U00011328\U0001133F)"
𑌨𑌿𑌂  "(\U00011328\U0001133F\U00011302)"
𑌨𑌿𑌃  "(\U00011328\U0001133F\U00011303)"
